"state","zipcode","total_pop","total_income","country","avg_income"
"AL",35114,"3160","216757","USA","68593.987341772152"
"AL",35115,"5350","254473","USA","47565.046728971963"
"AL",35116,"2040","136083","USA","66707.352941176471"
"AL",35117,"2710","180055","USA","66440.959409594096"
"AL",35118,"1320","65205","USA","49397.727272727273"
"AL",35120,"6370","364187","USA","57172.213500784929"
"AL",35121,"5880","322724","USA","54885.034013605442"
"AL",35124,"11830","1004652","USA","84924.091293322063"
"AL",35125,"4460","205579","USA","46093.946188340807"
"AL",35126,"9540","510996","USA","53563.522012578616"
"AL",35127,"4350","227002","USA","52184.367816091954"
"AL",35128,"4360","285361","USA","65449.770642201835"
"AL",35130,"1250","57256","USA","45804.800000000000"
"AL",35131,"1570","68566","USA","43672.611464968153"
"AL",35133,"1680","85740","USA","51035.714285714286"
"AL",35135,"810","47029","USA","58060.493827160494"
"AL",35136,"660","33733","USA","51110.606060606061"
"AL",35143,"1240","72578","USA","58530.645161290323"
"AL",35146,"4620","322554","USA","69816.883116883117"
"AL",35147,"2330","178979","USA","76815.021459227468"
"AL",35148,"1080","48376","USA","44792.592592592593"
"AL",35150,"7000","310258","USA","44322.571428571429"
"AL",35151,"2940","153808","USA","52315.646258503401"
"AL",35160,"9610","410515","USA","42717.481789802289"
"AL",35171,"1340","74603","USA","55673.880597014925"
"AL",35172,"1140","50985","USA","44723.684210526316"
"AL",35173,"13140","1206986","USA","91855.859969558600"
"AL",35175,"2090","124230","USA","59440.191387559809"
"AL",35176,"330","15120","USA","45818.181818181818"
"AL",35178,"1450","74912","USA","51663.448275862069"
"AL",35179,"3890","209089","USA","53750.385604113111"
"AL",35180,"5750","346335","USA","60232.173913043478"
"AL",35183,"290","13979","USA","48203.448275862069"
"AL",35184,"2090","99151","USA","47440.669856459330"
"AL",35186,"2060","151824","USA","73700.970873786408"
"AL",35188,"1140","64947","USA","56971.052631578947"
"AL",35203,"1440","190356","USA","132191.666666666667"
"AL",35204,"3370","92991","USA","27593.768545994065"
"AL",35205,"7590","493898","USA","65072.200263504611"
"AL",35206,"6400","206374","USA","32245.937500000000"
"AL",35207,"3110","83836","USA","26956.913183279743"
"AL",35208,"5500","160164","USA","29120.727272727273"
"AL",35209,"11970","1401725","USA","117103.174603174603"
"AL",35210,"6670","443870","USA","66547.226386806597"
"AL",35211,"9960","321884","USA","32317.670682730924"
"AL",35212,"4450","173159","USA","38912.134831460674"
"AL",35213,"7160","1779399","USA","248519.413407821229"
"AL",35214,"8140","312923","USA","38442.628992628993"
"AL",35215,"19620","680951","USA","34706.982670744139"
"AL",35216,"16190","1536708","USA","94917.109326744904"
"AL",35217,"4900","175230","USA","35761.224489795918"
"AL",35218,"2430","63675","USA","26203.703703703704"
"AL",35221,"1700","48994","USA","28820.000000000000"
"AL",35222,"4050","415884","USA","102687.407407407407"
"AL",35223,"5560","2070274","USA","372351.438848920863"
"AL",35224,"2130","66815","USA","31368.544600938967"
"AL",35226,"16940","1787410","USA","105514.167650531287"
"AL",35228,"4130","125234","USA","30323.002421307506"
"AL",35233,"940","78684","USA","83706.382978723404"
"AL",35234,"1760","47103","USA","26763.068181818182"
"AL",35235,"9260","402570","USA","43474.082073434125"
"AL",35242,"25910","3749843","USA","144725.704361250482"
"AL",35243,"10280","1515130","USA","147386.186770428016"
"AL",35244,"16680","1718822","USA","103046.882494004796"
"AL",35401,"9970","356339","USA","35741.123370110331"
"AL",35404,"8040","338594","USA","42113.681592039801"
"AL",35405,"18530","928260","USA","50094.981111710739"
"AL",35406,"6970","1011606","USA","145137.159253945481"
"AL",35441,"440","20224","USA","45963.636363636364"
"AL",35442,"1800","66328","USA","36848.888888888889"
"AL",35443,"690","21904","USA","31744.927536231884"
"AL",35444,"1550","82241","USA","53058.709677419355"
"AL",35446,"840","41646","USA","49578.571428571429"
"AL",35447,"1230","51644","USA","41986.991869918699"
"AL",35452,"1610","89717","USA","55724.844720496894"
"AL",35453,"4740","239852","USA","50601.687763713080"
"AL",35456,"1820","85257","USA","46844.505494505495"
"AL",35458,"230","11555","USA","50239.130434782609"
"AL",35459,"320","12316","USA","38487.500000000000"
"AL",35460,"210","6317","USA","30080.952380952381"
"AL",35461,"670","32427","USA","48398.507462686567"
"AL",35462,"1820","63059","USA","34647.802197802198"
"AL",35463,"780","41720","USA","53487.179487179487"
"AL",35464,"180","4685","USA","26027.777777777778"
"AL",35466,"2230","119702","USA","53678.026905829596"
"AL",35469,"120","5037","USA","41975.000000000000"
"AL",35470,"1860","81738","USA","43945.161290322581"
"AL",35473,"7250","447488","USA","61722.482758620690"
"AL",35474,"2880","148299","USA","51492.708333333333"
"AL",35475,"7060","583872","USA","82701.416430594901"
"AL",35476,"3410","150479","USA","44128.739002932551"
"AL",35480,"680","39584","USA","58211.764705882353"
"AL",35481,"1300","53448","USA","41113.846153846154"
"AL",35490,"1820","107652","USA","59149.450549450549"
"AL",35501,"3620","163353","USA","45125.138121546961"
"AL",35503,"3330","171923","USA","51628.528528528529"
"AL",35504,"5260","342415","USA","65097.908745247148"
"AL",35540,"900","43573","USA","48414.444444444444"
"AL",35541,"1320","85811","USA","65008.333333333333"
"AL",35542,"430","19880","USA","46232.558139534884"
"AL",35543,"350","15209","USA","43454.285714285714"
"AL",35544,"220","9821","USA","44640.909090909091"
"AL",35546,"1500","73232","USA","48821.333333333333"
"AL",35548,"560","21280","USA","38000.000000000000"
"AL",35549,"1360","56305","USA","41400.735294117647"
"AL",35550,"1850","88217","USA","47684.864864864865"
"AL",35552,"370","27569","USA","74510.810810810811"
"AL",35553,"1680","83468","USA","49683.333333333333"
"AL",35554,"420","20929","USA","49830.952380952381"
"AL",35555,"3640","166249","USA","45672.802197802198"
"AL",35563,"1540","72857","USA","47309.740259740260"
"AL",35564,"790","33424","USA","42308.860759493671"
"AL",35565,"4670","213916","USA","45806.423982869379"
"AL",35570,"3930","174684","USA","44448.854961832061"
"AL",35571,"320","14482","USA","45256.250000000000"
"AL",35572,"400","23590","USA","58975.000000000000"
"AL",35574,"560","27230","USA","48625.000000000000"
"AL",35575,"370","16286","USA","44016.216216216216"
"AL",35576,"1180","58018","USA","49167.796610169492"
"AL",35578,"1840","82002","USA","44566.304347826087"
"AL",35579,"1180","53659","USA","45473.728813559322"
"AL",35580,"1460","69727","USA","47758.219178082192"
"AL",35581,"1890","78605","USA","41589.947089947090"
"AL",35582,"1620","88251","USA","54475.925925925926"
"AL",35585,"600","27400","USA","45666.666666666667"
"AL",35586,"1560","69321","USA","44436.538461538462"
"AL",35587,"310","16054","USA","51787.096774193548"
"AL",35592,"1670","77418","USA","46358.083832335329"
"AL",35593,"670","30084","USA","44901.492537313433"
"AL",35594,"2880","150392","USA","52219.444444444444"
"AL",35601,"13500","659712","USA","48867.555555555556"
"AL",35603,"14270","977588","USA","68506.517168885774"
"AL",35610,"740","36822","USA","49759.459459459459"
"AL",35611,"10330","514537","USA","49809.970958373669"
"AL",35613,"9780","815009","USA","83334.253578732106"
"AL",35614,"3050","144951","USA","47524.918032786885"
"AL",35616,"1400","67057","USA","47897.857142857143"
"AL",35618,"750","29159","USA","38878.666666666667"
"AL",35619,"2060","110141","USA","53466.504854368932"
"AL",35620,"3760","200083","USA","53213.563829787234"
"AL",35621,"1200","60715","USA","50595.833333333333"
"AL",35622,"2760","126578","USA","45861.594202898551"
"AL",35630,"12550","574613","USA","45785.896414342629"
"AL",35633,"8540","477118","USA","55868.618266978923"
"AL",35634,"4560","359335","USA","78801.535087719298"
"AL",35640,"10810","656758","USA","60754.671600370028"
"AL",35643,"1270","55880","USA","44000.000000000000"
"AL",35645,"5800","391900","USA","67568.965517241379"
"AL",35646,"1790","84806","USA","47377.653631284916"
"AL",35647,"440","23179","USA","52679.545454545455"
"AL",35648,"1570","80219","USA","51094.904458598726"
"AL",35650,"5450","274852","USA","50431.559633027523"
"AL",35651,"410","19763","USA","48202.439024390244"
"AL",35652,"3470","204063","USA","58807.780979827089"
"AL",35653,"4410","200184","USA","45393.197278911565"
"AL",35654,"3000","130806","USA","43602.000000000000"
"AL",35660,"3740","152278","USA","40716.042780748663"
"AL",35661,"7940","504595","USA","63551.007556675063"
"AL",35670,"3190","175126","USA","54898.432601880878"
"AL",35671,"920","50040","USA","54391.304347826087"
"AL",35672,"2400","122267","USA","50944.583333333333"
"AL",35673,"3410","182574","USA","53540.762463343109"
"AL",35674,"8030","432706","USA","53886.176836861768"
"AL",35677,"710","30781","USA","43353.521126760563"
"AL",35739,"2200","116838","USA","53108.181818181818"
"AL",35740,"1260","58690","USA","46579.365079365079"
"AL",35741,"1540","169311","USA","109942.207792207792"
"AL",35744,"940","40313","USA","42886.170212765957"
"AL",35746,"350","14961","USA","42745.714285714286"
"AL",35747,"2480","148263","USA","59783.467741935484"
"AL",35748,"3360","299654","USA","89182.738095238095"
"AL",35749,"12080","857591","USA","70992.632450331126"
"AL",35750,"6030","325147","USA","53921.558872305141"
"AL",35752,"810","39590","USA","48876.543209876543"
"AL",35754,"2260","127889","USA","56588.053097345133"
"AL",35755,"290","16978","USA","58544.827586206897"
"AL",35756,"9130","823429","USA","90189.375684556407"
"AL",35757,"7770","601809","USA","77452.895752895753"
"AL",35758,"21560","2066909","USA","95867.764378478664"
"AL",35759,"4440","316300","USA","71238.738738738739"
"AL",35760,"2110","112390","USA","53265.402843601896"
"AL",35761,"5350","357408","USA","66805.233644859813"
"AL",35763,"9020","1029314","USA","114114.634146341463"
"AL",35764,"240","9241","USA","38504.166666666667"
"AL",35765,"1450","62747","USA","43273.793103448276"
"AL",35768,"4580","223423","USA","48782.314410480349"
"AL",35769,"4170","316625","USA","75929.256594724221"
"AL",35771,"1380","63098","USA","45723.188405797101"
"AL",35772,"1800","80085","USA","44491.666666666667"
"AL",35773,"5690","319237","USA","56104.920913884007"
"AL",35775,"340","13624","USA","40070.588235294118"
"AL",35776,"1440","64404","USA","44725.000000000000"
"AL",35801,"10480","1320028","USA","125956.870229007634"
"AL",35802,"11470","1099678","USA","95874.280732345248"
"AL",35803,"13730","1108672","USA","80748.142753095412"
"AL",35805,"7820","218090","USA","27888.746803069054"
"AL",35806,"12190","919055","USA","75394.175553732568"
"AL",35808,"430","41463","USA","96425.581395348837"
"AL",35810,"13430","472617","USA","35191.139240506329"
"AL",35811,"12780","824683","USA","64529.186228482003"
"AL",35816,"5630","174997","USA","31082.948490230906"
"AL",35824,"4600","389956","USA","84773.043478260870"
"AL",35901,"7320","460470","USA","62905.737704918033"
"AL",35903,"7160","294669","USA","41154.888268156425"
"AL",35904,"5250","213710","USA","40706.666666666667"
"AL",35905,"2690","139707","USA","51935.687732342007"
"AL",35906,"4440","244166","USA","54992.342342342342"
"AL",35907,"4010","271035","USA","67589.775561097257"
"AL",35950,"8600","360905","USA","41965.697674418605"
"AL",35951,"5010","212481","USA","42411.377245508982"
"AL",35952,"2710","120138","USA","44331.365313653137"
"AL",35953,"3040","161133","USA","53004.276315789474"
"AL",35954,"4580","183734","USA","40116.593886462882"
"AL",35956,"3510","160743","USA","45795.726495726496"
"AL",35957,"6260","271639","USA","43392.811501597444"
"AL",35958,"1160","56174","USA","48425.862068965517"
"AL",35959,"1820","87085","USA","47848.901098901099"
"AL",35960,"3770","194749","USA","51657.559681697613"
"AL",35961,"2210","83707","USA","37876.470588235294"
"AL",35962,"2620","111156","USA","42425.954198473282"
"AL",35963,"620","23690","USA","38209.677419354839"
"AL",35966,"1310","59017","USA","45051.145038167939"
"AL",35967,"6300","301529","USA","47861.746031746032"
"AL",35968,"2230","119074","USA","53396.412556053812"
"AL",35971,"1780","80617","USA","45290.449438202247"
"AL",35972,"500","24071","USA","48142.000000000000"
"AL",35973,"1000","43228","USA","43228.000000000000"
"AL",35974,"710","28786","USA","40543.661971830986"
"AL",35975,"350","17040","USA","48685.714285714286"
"AL",35976,"7080","482190","USA","68105.932203389831"
"AL",35978,"2020","107655","USA","53294.554455445545"
"AL",35979,"530","21533","USA","40628.301886792453"
"AL",35980,"1820","74775","USA","41085.164835164835"
"AL",35981,"740","33631","USA","45447.297297297297"
"AL",35983,"1430","67298","USA","47061.538461538462"
"AL",35984,"780","41365","USA","53032.051282051282"
"AL",35986,"3250","158378","USA","48731.692307692308"
"AL",35987,"980","46941","USA","47898.979591836735"
"AL",35988,"690","28756","USA","41675.362318840580"
"AL",35989,"1290","66391","USA","51465.891472868217"
"AL",36003,"760","36905","USA","48559.210526315789"
"AL",36005,"670","30455","USA","45455.223880597015"
"AL",36006,"540","27131","USA","50242.592592592593"
"AL",36009,"1030","51791","USA","50282.524271844660"
"AL",36010,"2000","77662","USA","38831.000000000000"
"AL",36013,"190","19788","USA","104147.368421052632"
"AL",36016,"1230","48378","USA","39331.707317073171"
"AL",36017,"490","16488","USA","33648.979591836735"
"AL",36020,"530","23249","USA","43866.037735849057"
"AL",36022,"5950","383274","USA","64415.798319327731"
"AL",36024,"2660","162794","USA","61200.751879699248"
"AL",36025,"1650","80660","USA","48884.848484848485"
"AL",36026,"450","33700","USA","74888.888888888889"
"AL",36027,"5860","273630","USA","46694.539249146758"
"AL",36028,"690","29257","USA","42401.449275362319"
"AL",36029,"400","23172","USA","57930.000000000000"
"AL",36030,"200","7627","USA","38135.000000000000"
"AL",36032,"1020","36537","USA","35820.588235294118"
"AL",36033,"1490","61036","USA","40963.758389261745"
"AL",36034,"310","13383","USA","43170.967741935484"
"AL",36035,"810","36815","USA","45450.617283950617"
"AL",36036,"770","33656","USA","43709.090909090909"
"AL",36037,"5350","244066","USA","45619.813084112150"
"AL",36039,"110","3259","USA","29627.272727272727"
"AL",36040,"1440","46353","USA","32189.583333333333"
"AL",36041,"560","24209","USA","43230.357142857143"
"AL",36042,"550","25344","USA","46080.000000000000"
"AL",36043,"1590","92320","USA","58062.893081761006"
"AL",36046,"540","26062","USA","48262.962962962963"
"AL",36047,"560","22069","USA","39408.928571428571"
"AL",36048,"500","17566","USA","35132.000000000000"
"AL",36049,"2230","103802","USA","46547.982062780269"
"AL",36051,"920","43926","USA","47745.652173913043"
"AL",36052,"380","33396","USA","87884.210526315789"
"AL",36053,"750","25749","USA","34332.000000000000"
"AL",36054,"6600","350285","USA","53073.484848484848"
"AL",36064,"5240","546380","USA","104270.992366412214"
"AL",36066,"9100","565843","USA","62180.549450549451"
"AL",36067,"11060","626626","USA","56656.962025316456"
"AL",36069,"760","37806","USA","49744.736842105263"
"AL",36071,"330","11711","USA","35487.878787878788"
"AL",36075,"790","34841","USA","44102.531645569620"
"AL",36078,"5510","286821","USA","52054.627949183303"
"AL",36079,"3710","191115","USA","51513.477088948787"
"AL",36080,"1040","69625","USA","66947.115384615385"
"AL",36081,"5690","307994","USA","54128.998242530756"
"AL",36083,"3220","110726","USA","34386.956521739130"
"AL",36088,"970","28955","USA","29850.515463917526"
"AL",36089,"2940","97979","USA","33326.190476190476"
"AL",36091,"1450","69706","USA","48073.103448275862"
"AL",36092,"8790","452801","USA","51513.196814562002"
"AL",36093,"5200","408396","USA","78537.692307692308"
"AL",36104,"2570","110398","USA","42956.420233463035"
"AL",36105,"4180","144022","USA","34455.023923444976"
"AL",36106,"6430","506436","USA","78761.430793157076"
"AL",36107,"2840","89242","USA","31423.239436619718"
"AL",36108,"7050","205968","USA","29215.319148936170"
"AL",36109,"11060","553570","USA","50051.537070524412"
"AL",36110,"4440","125403","USA","28243.918918918919"
"AL",36111,"5640","407563","USA","72262.943262411348"
"AL",36113,"330","22683","USA","68736.363636363636"
"AL",36115,"260","13322","USA","51238.461538461538"
"AL",36116,"18030","779788","USA","43249.473100388242"
"AL",36117,"22550","1696025","USA","75211.751662971175"
"AL",36201,"6240","199806","USA","32020.192307692308"
"AL",36203,"8400","446148","USA","53112.857142857143"
"AL",36205,"340","17521","USA","51532.352941176471"
"AL",36206,"4510","187068","USA","41478.492239467849"
"AL",36207,"8300","534270","USA","64369.879518072289"
"AL",36250,"2100","113320","USA","53961.904761904762"
"AL",36251,"2030","93749","USA","46181.773399014778"
"AL",36255,"380","32446","USA","85384.210526315789"
"AL",36256,"600","27455","USA","45758.333333333333"
"AL",36258,"660","30751","USA","46592.424242424242"
"AL",36260,"1630","71644","USA","43953.374233128834"
"AL",36262,"530","22893","USA","43194.339622641509"
"AL",36263,"220","10926","USA","49663.636363636364"
